time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-01-09T14:41:06.280Z,-21.017,-69.4803,96.65,4.1,ml,,88,0.026,1.14,us,us6000d71p,2021-01-09T19:10:24.675Z,"113 km SE of Iquique, Chile",earthquake,6.8,4.6,,,reviewed,us,guc
2021-01-09T00:40:40.977Z,-23.6308,-66.8749,211.27,4.5,mb,,94,1.376,0.66,us,us6000d6x7,2021-01-09T23:16:32.040Z,"86 km NW of San Antonio de los Cobres, Argentina",earthquake,9.3,9.3,0.243,5,reviewed,us,us
2021-01-08T12:54:17.838Z,-26.532,-65.7915,10,4.1,mb,,108,3.001,1.11,us,us6000d6qr,2021-01-10T14:28:57.040Z,"36 km NNW of Tafí del Valle, Argentina",earthquake,8.7,2,0.521,1,reviewed,us,us
2021-01-08T09:48:41.855Z,-55.6349,-28.6437,27.4,5.2,mb,,80,4.719,0.71,us,us6000d6p8,2021-01-08T10:08:45.040Z,"South Sandwich Islands region",earthquake,6.4,5.8,0.062,85,reviewed,us,us
2021-01-08T06:33:35.759Z,-20.3253,-69.9239,43.4,2.6,ml,,122,0.339,0.55,us,us6000d6yd,2021-01-20T06:26:10.121Z,"26 km ESE of Iquique, Chile",earthquake,2.5,7.6,0.077,22,reviewed,us,us
2021-01-07T19:19:50.060Z,-29.7891,-71.6479,21.11,4,mb,,160,0.378,0.77,us,us6000d6it,2021-01-15T19:57:21.040Z,"34 km WNW of Coquimbo, Chile",earthquake,4.8,6.4,0.367,2,reviewed,us,us
2021-01-07T18:19:09.290Z,-29.8031,-71.619,25.55,4.4,mwr,,119,0.35,0.7,us,us6000d6id,2021-01-15T19:46:50.040Z,"31 km WNW of Coquimbo, Chile",earthquake,4.6,4.4,,,reviewed,us,guc
2021-01-07T07:53:26.939Z,-31.8281,-71.5965,24.34,4.3,mb,,148,0.57,1.02,us,us6000d6d1,2021-01-07T08:22:42.040Z,"45 km WSW of Illapel, Chile",earthquake,5,4.7,0.201,8,reviewed,us,us
2021-01-07T02:04:06.196Z,-24.3255,-67.1602,183.12,4.3,mb,,61,1.655,0.69,us,us6000d6bv,2021-01-14T02:33:43.040Z,"86 km W of San Antonio de los Cobres, Argentina",earthquake,8.6,9.4,0.178,9,reviewed,us,us
2021-01-07T00:09:05.772Z,-23.3582,-68.5155,109.11,4.2,mb,,62,0.509,0.64,us,us6000d6bc,2021-01-18T23:53:53.040Z,"59 km SSW of San Pedro de Atacama, Chile",earthquake,5.1,5.5,0.153,12,reviewed,us,us
2021-01-06T14:30:56.406Z,-24.3446,-67.3321,187.72,4.1,mb,,90,1.588,0.77,us,us6000d65u,2021-01-11T08:47:19.040Z,"103 km W of San Antonio de los Cobres, Argentina",earthquake,4.3,9.5,0.185,8,reviewed,us,us
2021-01-06T11:26:42.771Z,-23.0686,-66.5262,221.05,4.8,mb,,45,1.527,1.06,us,us6000d643,2021-01-06T11:46:29.040Z,"88 km W of El Aguilar, Argentina",earthquake,8.4,8.4,0.127,19,reviewed,us,us
2021-01-05T22:00:02.821Z,-31.6873,-70.2204,101.39,4.6,mwr,,65,0.733,0.79,us,us6000d5x0,2021-01-18T23:11:24.921Z,"71 km E of Salamanca, Chile",earthquake,5,2.6,0.045,47,reviewed,us,us
2021-01-05T21:43:53.702Z,-33.0423,-72.2234,10,4.3,mb,,167,0.492,0.74,us,us6000d5wq,2021-01-18T23:00:53.040Z,"55 km W of Valparaíso, Chile",earthquake,3.5,1.8,0.188,8,reviewed,us,us
2021-01-05T16:05:44.976Z,-27.5906,-72.087,10,3.9,ml,,199,1.085,0.56,us,us6000d5tl,2021-01-17T19:14:36.040Z,"170 km NW of Vallenar, Chile",earthquake,7.2,1.7,0.074,24,reviewed,us,us
2021-01-04T15:06:30.330Z,-39.2886,-74.8965,10,4.9,mb,,101,1.28,0.67,us,us6000d5gc,2021-01-14T14:37:04.040Z,"142 km WNW of Corral, Chile",earthquake,6.4,1.8,0.057,95,reviewed,us,us
2021-01-04T14:39:52.547Z,-24.3328,-67.2425,198.65,4.4,mb,,58,1.62,0.49,us,us6000d5g5,2021-01-14T14:25:56.040Z,"94 km W of San Antonio de los Cobres, Argentina",earthquake,4.8,9.9,0.219,6,reviewed,us,us
2021-01-04T14:00:26.380Z,-24.3463,-67.1634,168.16,4.3,mb,,46,1.671,0.76,us,us6000d5g3,2021-01-14T14:19:44.040Z,"86 km W of San Antonio de los Cobres, Argentina",earthquake,8.3,6.3,0.122,19,reviewed,us,us
2021-01-04T12:16:14.836Z,-57.0495,-26.8527,142.94,5.6,mww,,66,6.115,0.84,us,us6000d5es,2021-01-05T12:19:51.020Z,"South Sandwich Islands region",earthquake,10.8,6.2,0.093,11,reviewed,us,us
2021-01-04T01:08:50.325Z,-38.1857,-72.4902,62.42,4,mb,,136,1.448,0.76,us,us6000d5cc,2021-01-15T02:08:35.040Z,"14 km WNW of Victoria, Chile",earthquake,5.6,12.8,0.232,5,reviewed,us,us
2021-01-03T15:12:15.374Z,-61.0788,-36.2902,10,4.4,mb,,100,4.138,0.6,us,us6000d810,2021-01-13T16:54:57.040Z,"Scotia Sea",earthquake,13.6,1.9,0.19,8,reviewed,us,us
2021-01-03T13:20:21.441Z,-30.8511,-71.3552,37.61,4.5,mb,,131,0.298,0.75,us,us6000d591,2021-01-03T14:24:29.040Z,"31 km SSW of Ovalle, Chile",earthquake,4.9,6.9,0.204,11,reviewed,us,us
2021-01-02T23:21:18.144Z,-62.3706,-58.3091,10,5.2,mww,,85,0.212,0.75,us,us6000d53i,2021-01-14T02:36:46.040Z,"South Shetland Islands",earthquake,5.3,1.7,0.089,12,reviewed,us,us
2021-01-02T08:40:21.557Z,-23.4957,-68.8815,96.06,4.5,mb,,43,0.843,0.78,us,us6000d4yw,2021-01-17T11:24:48.040Z,"95 km SW of San Pedro de Atacama, Chile",earthquake,3.8,6,0.115,22,reviewed,us,us
2021-01-02T03:30:13.865Z,-22.753,-68.7602,112.98,4.4,mb,,40,0.571,0.62,us,us6000d4x8,2021-01-02T03:53:23.040Z,"36 km SSE of Calama, Chile",earthquake,5.1,5.4,0.218,7,reviewed,us,us
2021-01-02T02:41:08.350Z,-24.2857,-67.237,178.78,4.5,mb,,107,1.583,0.81,us,us6000d4x0,2021-01-02T03:01:09.040Z,"93 km W of San Antonio de los Cobres, Argentina",earthquake,4.3,9.6,0.115,22,reviewed,us,us
2021-01-02T00:26:19.682Z,-34.3924,-70.5142,124.5,4.3,mb,,127,0.41,0.56,us,us6000d4w8,2021-01-04T03:36:50.554Z,"26 km SSE of Machalí, Chile",earthquake,4.8,5.2,0.142,14,reviewed,us,us
2021-01-01T19:33:29.793Z,-23.5187,-68.7477,115.11,4.6,mb,,86,0.769,0.97,us,us6000d4ue,2021-01-01T19:54:12.040Z,"87 km SW of San Pedro de Atacama, Chile",earthquake,5.9,4.4,0.151,14,reviewed,us,us
2020-12-31T21:13:14.305Z,-22.9622,-66.5889,260.64,4.6,mb,,105,1.465,0.94,us,us6000d4mx,2020-12-31T21:34:23.040Z,"95 km WSW of Abra Pampa, Argentina",earthquake,9.7,10.4,0.314,3,reviewed,us,us
2020-12-30T12:03:19.219Z,-32.008,-71.9617,30.43,4.1,mb,,149,0.839,0.63,us,us6000d4bj,2020-12-30T12:23:21.040Z,"84 km NW of La Ligua, Chile",earthquake,3.3,7.2,0.175,9,reviewed,us,us
