# Long	Lat	Depth	Mag
-56.877	-60.983	10	5
-25.438	-58.307	60	4.8
-28.125	-55.819	33	4.8
-27.216	-56.035	115.5	5.1
-24.416	-57.391	33	4.6
-27.017	-56.207	33	5.2
-24.744	-59.966	33	4.9
-25.48	-56.36	33	5.3
-26.426	-56.662	33	4.7
-26.749	-55.413	50	4.9
-24.724	-56.966	33	4.7
-25.111	-57.069	33	4.7
-24.973	-56.864	33	5.5
-24.829	-56.948	33	4.6
-64.653	-57.068	33	4.8
-27.389	-56.348	152.3	5
-27.719	-55.953	100.4	5.2
-26.537	-58.744	33	4.7
-27.055	-59.231	33	5.4
-25.514	-58.7	33	5.6
-26.885	-59.271	33	4.9
-25.556	-58.577	33	5.1
-25.941	-55.794	33	5.3
-25.989	-55.789	33	5.1
-25.272	-57.86	60	4.3
-25.422	-58.922	33	5.2
-23.692	-61.084	33	5.2
-26.657	-55.715	33	5.6
-26.467	-55.977	33	5.6
-28.244	-55.2	33	5.6
-27.577	-55.998	140.8	5.2
-28.527	-55.775	136.6	5
-65.777	-57.655	33	4.9
-27.499	-56.17	109.8	5
-26.149	-55.494	33	5.9
-26.141	-55.566	33	5.1
-24.711	-57.596	33	5
-25.135	-57.659	33	5.5
-28.309	-55.58	33	4.4
-25.33	-56.637	33	6.5
-25.168	-56.681	33	5.1
-25.308	-56.593	33	5.5
-25.093	-56.561	33	5.2
-26.59	-56.971	145.1	5.2
-25.518	-56.75	33	5.7
-27.526	-55.377	33	5.1
-27.645	-55.391	33	4.9
-27.138	-56.678	180	4.8
-27.497	-55.895	33	4.8
-27.291	-55.83	33	4.9
-27.356	-55.679	33	4.8
-28.4	-59.783	33	4.8
-25.306	-56.632	33	5.4
-32.72	-55.338	10	4.9
-28.206	-55.376	33	4.6
-26.883	-60.241	33	6.4
-26.909	-60.388	33	4.7
-33.159	-60.887	10	4.8
-25.32	-57.725	30.7	5.5
-25.427	-58.947	33	5.4
-30.52	-56.424	33	4.9
-25.501	-56.698	33	4.8
-25.333	-57.243	49.8	5.7
-25.427	-57.273	45.3	5.2
-25.499	-58.862	33	5.1
-24.583	-56.838	33	5.6
-26.23	-59.576	33	5.4
-30.061	-56.223	33	5
-26.589	-56.343	61.2	5.2
-26.537	-58.953	122.8	4.7
-56.411	-61.149	10	4.8
-23.088	-58.673	16.1	5.3
-25.099	-57.705	33	5.2
-26.223	-58.716	132	6.2
-24.842	-59.45	37.1	5.3
-26.141	-59.569	43.9	5.2
-59.402	-53.783	10	4.9
-27.93	-55.821	33	5
-26.071	-59.55	33	5.1
-27.108	-56.011	120.9	5.2
-27.917	-56.055	70	5.3
-61.61	-57.522	10	4.4
-25.393	-58.991	33	5
-26.278	-56.704	33	5.5
-23.833	-54.753	33	5.3
-27.429	-55.931	89.5	5.7
-27.614	-56.008	112.4	5.1
-26.571	-56.366	111	5.7
-27.03	-55.984	40.3	5.8
-25.686	-59.276	33	4.5
-24.373	-57.724	11.1	6.4
-26.226	-58.176	33	5.3
-26.063	-58.55	33	5.1
-24.728	-58.9	10	5.5
-24.889	-59.049	33	4.9
-24.855	-58.782	33	5.7
-24.85	-58.711	33	5.8
-25.846	-57.296	33	4.6
-26.057	-58.919	33	4.7
-23.384	-57.873	33	5.6
-25.454	-57.811	33	4.9
-25.122	-58.6	33	5.9
-25.106	-58.569	33	4.9
-24.927	-58.596	33	4.6
-24.888	-58.632	33	5.1
-25.058	-58.614	33	5.1
-25.066	-58.614	33	5.6
-24.994	-58.559	33	5.1
-24.959	-58.637	33	5.2
-25.396	-58.843	33	4.9
-26.164	-59.55	53.4	5.5
-33.018	-55.36	10	4.7
-26.934	-59.264	33	5.2
-25.86	-57.281	33	5.5
